identifier,n_neighbors,min_dist,min_cluster_size,min_samples,num_topics,coherence,save_path
n15_d0.0_cs50,15,0.0,50,25,126,0.4093678197106065,Wildfire/model/model_n15_d0.0_cs50
n15_d0.0_cs100,15,0.0,100,50,67,0.4718729160684632,Wildfire/model/model_n15_d0.0_cs100
n15_d0.0_cs150,15,0.0,150,75,50,0.5235276081257111,Wildfire/model/model_n15_d0.0_cs150
n15_d0.0_cs200,15,0.0,200,100,40,0.5528197474157097,Wildfire/model/model_n15_d0.0_cs200
n15_d0.0_cs250,15,0.0,250,125,33,0.5917199381755752,Wildfire/model/model_n15_d0.0_cs250
n15_d0.0_cs300,15,0.0,300,150,28,0.6176599912720124,Wildfire/model/model_n15_d0.0_cs300
n15_d0.0_cs350,15,0.0,350,175,27,0.6245855621909099,Wildfire/model/model_n15_d0.0_cs350
n15_d0.0_cs400,15,0.0,400,200,25,0.6053885829873473,Wildfire/model/model_n15_d0.0_cs400
n15_d0.01_cs50,15,0.01,50,25,135,0.3992342918693408,Wildfire/model/model_n15_d0.01_cs50
n15_d0.01_cs100,15,0.01,100,50,64,0.4732460309393517,Wildfire/model/model_n15_d0.01_cs100
n15_d0.01_cs150,15,0.01,150,75,52,0.5178165301637232,Wildfire/model/model_n15_d0.01_cs150
n15_d0.01_cs200,15,0.01,200,100,39,0.552942492695198,Wildfire/model/model_n15_d0.01_cs200
n15_d0.01_cs250,15,0.01,250,125,33,0.5977227502975224,Wildfire/model/model_n15_d0.01_cs250
n15_d0.01_cs300,15,0.01,300,150,24,0.6235846327901442,Wildfire/model/model_n15_d0.01_cs300
n15_d0.01_cs350,15,0.01,350,175,27,0.6362016377055257,Wildfire/model/model_n15_d0.01_cs350
n15_d0.01_cs400,15,0.01,400,200,25,0.6058137759475901,Wildfire/model/model_n15_d0.01_cs400
n20_d0.0_cs50,20,0.0,50,25,126,0.4128096159391086,Wildfire/model/model_n20_d0.0_cs50
n20_d0.0_cs100,20,0.0,100,50,63,0.4652734034278584,Wildfire/model/model_n20_d0.0_cs100
n20_d0.0_cs150,20,0.0,150,75,50,0.5105888108022383,Wildfire/model/model_n20_d0.0_cs150
n20_d0.0_cs200,20,0.0,200,100,40,0.5709886138399078,Wildfire/model/model_n20_d0.0_cs200
n20_d0.0_cs250,20,0.0,250,125,31,0.5823844107972846,Wildfire/model/model_n20_d0.0_cs250
n20_d0.0_cs300,20,0.0,300,150,28,0.6183181107706207,Wildfire/model/model_n20_d0.0_cs300
n20_d0.0_cs350,20,0.0,350,175,29,0.6054511613156495,Wildfire/model/model_n20_d0.0_cs350
n20_d0.0_cs400,20,0.0,400,200,25,0.6081566029113235,Wildfire/model/model_n20_d0.0_cs400
n20_d0.01_cs50,20,0.01,50,25,115,0.4126418698317887,Wildfire/model/model_n20_d0.01_cs50
n20_d0.01_cs100,20,0.01,100,50,62,0.4762454196048673,Wildfire/model/model_n20_d0.01_cs100
n20_d0.01_cs150,20,0.01,150,75,50,0.5024045925915308,Wildfire/model/model_n20_d0.01_cs150
n20_d0.01_cs200,20,0.01,200,100,42,0.5498041986357532,Wildfire/model/model_n20_d0.01_cs200
n20_d0.01_cs250,20,0.01,250,125,29,0.6098719115971732,Wildfire/model/model_n20_d0.01_cs250
n20_d0.01_cs300,20,0.01,300,150,29,0.6311247789643465,Wildfire/model/model_n20_d0.01_cs300
n20_d0.01_cs350,20,0.01,350,175,27,0.6103162072899205,Wildfire/model/model_n20_d0.01_cs350
n20_d0.01_cs400,20,0.01,400,200,26,0.5976364065947861,Wildfire/model/model_n20_d0.01_cs400
n25_d0.0_cs50,25,0.0,50,25,104,0.4185807923854417,Wildfire/model/model_n25_d0.0_cs50
n25_d0.0_cs100,25,0.0,100,50,61,0.5076536448075915,Wildfire/model/model_n25_d0.0_cs100
n25_d0.0_cs150,25,0.0,150,75,46,0.5155887007810892,Wildfire/model/model_n25_d0.0_cs150
n25_d0.0_cs200,25,0.0,200,100,42,0.5510266115324536,Wildfire/model/model_n25_d0.0_cs200
n25_d0.0_cs250,25,0.0,250,125,31,0.6125911385720527,Wildfire/model/model_n25_d0.0_cs250
n25_d0.0_cs300,25,0.0,300,150,30,0.6281305370777004,Wildfire/model/model_n25_d0.0_cs300
n25_d0.0_cs350,25,0.0,350,175,28,0.6135080084484515,Wildfire/model/model_n25_d0.0_cs350
n25_d0.0_cs400,25,0.0,400,200,25,0.5973867650086482,Wildfire/model/model_n25_d0.0_cs400
n25_d0.01_cs50,25,0.01,50,25,105,0.4317885952469603,Wildfire/model/model_n25_d0.01_cs50
n25_d0.01_cs100,25,0.01,100,50,59,0.4795240699322912,Wildfire/model/model_n25_d0.01_cs100
n25_d0.01_cs150,25,0.01,150,75,49,0.5369982688151475,Wildfire/model/model_n25_d0.01_cs150
n25_d0.01_cs200,25,0.01,200,100,41,0.5620662736409693,Wildfire/model/model_n25_d0.01_cs200
n25_d0.01_cs250,25,0.01,250,125,32,0.5983447823348279,Wildfire/model/model_n25_d0.01_cs250
n25_d0.01_cs300,25,0.01,300,150,31,0.6134814331560048,Wildfire/model/model_n25_d0.01_cs300
n25_d0.01_cs350,25,0.01,350,175,27,0.6428447594950181,Wildfire/model/model_n25_d0.01_cs350
n25_d0.01_cs400,25,0.01,400,200,26,0.614115327611555,Wildfire/model/model_n25_d0.01_cs400
n30_d0.0_cs50,30,0.0,50,25,105,0.4243823574453578,Wildfire/model/model_n30_d0.0_cs50
n30_d0.0_cs100,30,0.0,100,50,64,0.456209986901694,Wildfire/model/model_n30_d0.0_cs100
n30_d0.0_cs150,30,0.0,150,75,50,0.511514639896776,Wildfire/model/model_n30_d0.0_cs150
n30_d0.0_cs200,30,0.0,200,100,41,0.5552832271217212,Wildfire/model/model_n30_d0.0_cs200
n30_d0.0_cs250,30,0.0,250,125,28,0.6246569492582434,Wildfire/model/model_n30_d0.0_cs250
n30_d0.0_cs300,30,0.0,300,150,31,0.61532669063167,Wildfire/model/model_n30_d0.0_cs300
n30_d0.0_cs350,30,0.0,350,175,27,0.6427719658650358,Wildfire/model/model_n30_d0.0_cs350
n30_d0.0_cs400,30,0.0,400,200,23,0.6480753938567463,Wildfire/model/model_n30_d0.0_cs400
n30_d0.01_cs50,30,0.01,50,25,107,0.4170312077620485,Wildfire/model/model_n30_d0.01_cs50
n30_d0.01_cs100,30,0.01,100,50,63,0.4859456205065398,Wildfire/model/model_n30_d0.01_cs100
n30_d0.01_cs150,30,0.01,150,75,50,0.5183988433096194,Wildfire/model/model_n30_d0.01_cs150
n30_d0.01_cs200,30,0.01,200,100,37,0.5566630842779725,Wildfire/model/model_n30_d0.01_cs200
n30_d0.01_cs250,30,0.01,250,125,31,0.6136881238357867,Wildfire/model/model_n30_d0.01_cs250
n30_d0.01_cs300,30,0.01,300,150,27,0.648028555288753,Wildfire/model/model_n30_d0.01_cs300
n30_d0.01_cs350,30,0.01,350,175,27,0.6447915162401817,Wildfire/model/model_n30_d0.01_cs350
n30_d0.01_cs400,30,0.01,400,200,27,0.6276075990451245,Wildfire/model/model_n30_d0.01_cs400
